date,forecasted_sales
2017-12-31,2529.410648696823
2018-01-01,1476.827532049967
2018-01-02,1307.0674258542713
2018-01-03,1448.2868148875423
2018-01-04,1628.7170187977608
2018-01-05,1678.345383319538
2018-01-06,1356.8368681597058
2018-01-07,1528.0025635361671
2018-01-08,1231.5704706509132
2018-01-09,1274.8578564890195
2018-01-10,1299.242189309094
2018-01-11,1300.545974132372
2018-01-12,1271.266963582253
2018-01-13,1165.6078620282933
2018-01-14,1196.554029161809
2018-01-15,1100.2412247478496
2018-01-16,1082.2843009559438
2018-01-17,1047.4669977310114
2018-01-18,1036.8152879062109
2018-01-19,1005.5128820228856
2018-01-20,949.6805021455511
2018-01-21,892.491829731036
2018-01-22,916.568133366527
2018-01-23,854.5145994375926
2018-01-24,876.4586729179136
2018-01-25,862.8646606511902
2018-01-26,831.5934798081871
2018-01-27,792.7414557626471
2018-01-28,760.254990993999
2018-01-29,764.8566949423403
2018-01-30,717.1896084910259
2018-01-31,715.8520134959836
2018-02-01,907.0766758939717
2018-02-02,879.7424872142728
2018-02-03,889.797219631495
2018-02-04,894.3487459400203
2018-02-05,905.5123591162264
2018-02-06,910.8113154950552
2018-02-07,927.5646175076254
2018-02-08,946.2858731150627
2018-02-09,940.0416944730096
2018-02-10,950.396483033197
2018-02-11,949.0827460582368
2018-02-12,945.798760590842
2018-02-13,941.8238916306291
2018-02-14,938.0266162641346
2018-02-15,931.1713269378524
2018-02-16,920.8343164848629
2018-02-17,920.8995379933622
2018-02-18,907.6587020957377
2018-02-19,891.7990489567164
2018-02-20,877.5908787713852
2018-02-21,861.0712063899264
2018-02-22,843.839744070312
2018-02-23,824.3196610652376
2018-02-24,814.6406552137341
2018-02-25,791.43412587489
2018-02-26,765.7769432568457
2018-02-27,742.394805271877
2018-02-28,717.0966635388322
2018-03-01,1100.1384930831846
2018-03-02,1084.4693944221362
2018-03-03,1121.0330210085958
2018-03-04,1147.6122587297577
2018-03-05,1176.1965003472287
2018-03-06,1211.8233709842898
2018-03-07,1249.6874378132634
2018-03-08,1306.5327499061823
2018-03-09,1315.1445726982784
2018-03-10,1342.7900919374079
2018-03-11,1356.8357562748715
2018-03-12,1367.09160681488
2018-03-13,1378.076644359855
2018-03-14,1385.4970131376758
2018-03-15,1390.3139317599125
2018-03-16,1387.512909420766
2018-03-17,1394.0505648606922
2018-03-18,1387.0048518034164
2018-03-19,1375.654198623728
2018-03-20,1365.5189431293402
2018-03-21,1353.2190514625981
2018-03-22,1338.76445946889
2018-03-23,1321.6666281085927
2018-03-24,1313.2333100510295
2018-03-25,1290.6596476074774
2018-03-26,1264.8502712100744
2018-03-27,1241.1259636704344
2018-03-28,1215.2558343980927
2018-03-29,1187.7704459829256
2018-03-30,1158.6920876549557
